 1.1587e+00,  0.000,300.850, 1525.7,1000.0
 1.1589e+00,  0.000,300.850, 1526.1,1000.0
 1.1585e+00,  0.000,300.850, 1526.4,1000.0
 1.1587e+00,  0.000,300.850, 1526.7,1000.0
 1.1589e+00,  0.000,300.850, 1527.0,1000.0
 1.1592e+00,  0.000,300.850, 1527.3,1000.0
 1.1587e+00,  0.000,300.850, 1527.7,1000.0
 1.1583e+00,  0.000,300.850, 1528.0,1000.0
 1.1586e+00,  0.000,300.850, 1528.3,1000.0
 1.1588e+00,  0.000,300.820, 1528.6,1000.0
 1.1588e+00,  0.000,300.820, 1528.9,1000.0
 1.1589e+00,  0.000,300.820, 1529.3,1000.0
 1.1588e+00,  0.000,300.820, 1529.6,1000.0
 1.1594e+00,  0.000,300.820, 1529.9,1000.0
 1.1586e+00,  0.000,300.820, 1530.2,1000.0
 1.1586e+00,  0.000,300.820, 1530.5,1000.0
 1.1583e+00,  0.000,300.820, 1530.9,1000.0
 1.1586e+00,  0.000,300.820, 1531.2,1000.0
 1.1590e+00,  0.000,300.820, 1531.5,1000.0
 1.1587e+00,  0.000,300.790, 1531.8,1000.0
 1.1588e+00,  0.000,300.790, 1532.1,1000.0
 1.1589e+00,  0.000,300.790, 1532.5,1000.0
 1.1590e+00,  0.000,300.790, 1532.8,1000.0
 1.1588e+00,  0.000,300.790, 1533.1,1000.0
 1.1586e+00,  0.000,300.790, 1533.4,1000.0
 1.1586e+00,  0.000,300.790, 1533.7,1000.0
 1.1590e+00,  0.000,300.790, 1534.1,1000.0
 1.1591e+00,  0.000,300.790, 1534.4,1000.0
 1.1588e+00,  0.000,300.790, 1534.7,1000.0
 1.1591e+00,  0.000,300.790, 1535.0,1000.0
 1.1589e+00,  0.000,300.770, 1535.3,1000.0
 1.1585e+00,  0.000,300.770, 1535.7,1000.0
 1.1587e+00,  0.000,300.770, 1536.0,1000.0
 1.1580e+00,  0.000,300.770, 1536.3,1000.0
 1.1586e+00,  0.000,300.770, 1536.6,1000.0
 1.1589e+00,  0.000,300.770, 1536.9,1000.0
 1.1588e+00,  0.000,300.770, 1537.3,1000.0
 1.1588e+00,  0.000,300.770, 1537.6,1000.0
 1.1591e+00,  0.000,300.770, 1537.9,1000.0
 1.1590e+00,  0.000,300.770, 1538.2,1000.0
 1.1586e+00,  0.000,300.770, 1538.5,1000.0
 1.1581e+00,  0.000,300.770, 1538.9,1000.0
 1.1587e+00,  0.000,300.740, 1539.2,1000.0
