  84.98 -1.517000e-06 2.805025e+03  27.00
  84.98 -1.516000e-06 2.805296e+03  27.00
  84.98 -1.516000e-06 2.805566e+03  27.00
  84.98 -1.513000e-06 2.805837e+03  27.00
  84.98 -1.513000e-06 2.806107e+03  27.00
  84.98 -1.512000e-06 2.806377e+03  27.00
  84.98 -1.513000e-06 2.806648e+03  27.00
  84.98 -1.513000e-06 2.806918e+03  27.00
  84.98 -1.513000e-06 2.807188e+03  27.00
  84.98 -1.512000e-06 2.807459e+03  27.00
  84.98 -1.513000e-06 2.807729e+03  27.00
  84.98 -1.513000e-06 2.808000e+03  27.00
  84.98 -1.512000e-06 2.808270e+03  27.00
  84.98 -1.512000e-06 2.808540e+03  27.00
  84.98 -1.512000e-06 2.808811e+03  27.00
  84.98 -1.512000e-06 2.809082e+03  27.00
  84.96 -1.511000e-06 2.809352e+03  27.00
  84.96 -1.513000e-06 2.809630e+03  27.00
  84.96 -1.517000e-06 2.809901e+03  27.00
  84.96 -1.518000e-06 2.810171e+03  27.00
  84.96 -1.518000e-06 2.810442e+03  27.00
  84.96 -1.520000e-06 2.810712e+03  27.00
  84.96 -1.520000e-06 2.810983e+03  27.00
  84.96 -1.520000e-06 2.811253e+03  27.00
  84.93 -1.522000e-06 2.811524e+03  27.00
  84.93 -1.522000e-06 2.811795e+03  27.00
  84.93 -1.523000e-06 2.812064e+03  27.00
  84.93 -1.523000e-06 2.812335e+03  27.00
  84.93 -1.523000e-06 2.812605e+03  27.00
  84.93 -1.522000e-06 2.812875e+03  27.00
  84.91 -1.522000e-06 2.813146e+03  27.00
  84.91 -1.522000e-06 2.813416e+03  27.00
  84.91 -1.523000e-06 2.813687e+03  27.00
  84.91 -1.523000e-06 2.813957e+03  27.00
  84.91 -1.525000e-06 2.814228e+03  27.00
  84.91 -1.525000e-06 2.814498e+03  27.00
  84.91 -1.523000e-06 2.814769e+03  27.00
  84.91 -1.523000e-06 2.815039e+03  27.00
  84.91 -1.522000e-06 2.815309e+03  27.00
  84.91 -1.522000e-06 2.815580e+03  27.00
  84.91 -1.520000e-06 2.815850e+03  27.00
  84.91 -1.520000e-06 2.816121e+03  27.00
  84.91 -1.518000e-06 2.816391e+03  27.00
  84.91 -1.520000e-06 2.816662e+03  27.00
  84.91 -1.520000e-06 2.816932e+03  27.00
  84.91 -1.520000e-06 2.817202e+03  27.00
  84.91 -1.518000e-06 2.817473e+03  27.00
  84.91 -1.520000e-06 2.817744e+03  27.00
  84.91 -1.520000e-06 2.818014e+03  27.00
  84.91 -1.522000e-06 2.818284e+03  27.00
  84.91 -1.523000e-06 2.818554e+03  27.00
  84.91 -1.523000e-06 2.818825e+03  27.00
  84.91 -1.522000e-06 2.819096e+03  27.00
  84.91 -1.520000e-06 2.819366e+03  27.00
  84.91 -1.518000e-06 2.819636e+03  27.00
  84.93 -1.516000e-06 2.819906e+03  27.00
  84.93 -1.513000e-06 2.820177e+03  27.00
  84.93 -1.512000e-06 2.820448e+03  27.00
  84.93 -1.512000e-06 2.820718e+03  27.00
  84.93 -1.516000e-06 2.820989e+03  27.00
  84.93 -1.516000e-06 2.821259e+03  27.00
  84.96 -1.517000e-06 2.821529e+03  27.00
  84.96 -1.517000e-06 2.821800e+03  27.00
  84.96 -1.518000e-06 2.822070e+03  27.00
  84.96 -1.520000e-06 2.822340e+03  27.00
  84.96 -1.520000e-06 2.822611e+03  27.00
  84.96 -1.520000e-06 2.822882e+03  27.00
  84.98 -1.520000e-06 2.823152e+03  27.00
  84.98 -1.522000e-06 2.823422e+03  27.00
  84.98 -1.523000e-06 2.823693e+03  27.00
  84.98 -1.523000e-06 2.823963e+03  27.00
  85.00 -1.523000e-06 2.824233e+03  27.00
  85.00 -1.520000e-06 2.824504e+03  27.00
  85.00 -1.517000e-06 2.824774e+03  27.00
  85.00 -1.517000e-06 2.825045e+03  27.00
  85.03 -1.516000e-06 2.825315e+03  27.00
  85.03 -1.513000e-06 2.825586e+03  27.00
  85.03 -1.513000e-06 2.825856e+03  27.00
  85.03 -1.513000e-06 2.826127e+03  27.00
  85.05 -1.512000e-06 2.826397e+03  27.00
  85.05 -1.512000e-06 2.826667e+03  27.00
  85.05 -1.512000e-06 2.826938e+03  27.00
  85.05 -1.513000e-06 2.827208e+03  27.00
  85.07 -1.513000e-06 2.827479e+03  27.00
  85.07 -1.512000e-06 2.827749e+03  27.00
  85.07 -1.511000e-06 2.828019e+03  27.00
  85.07 -1.511000e-06 2.828290e+03  27.00
  85.09 -1.511000e-06 2.828561e+03  27.00
  85.09 -1.512000e-06 2.828830e+03  27.00
  85.09 -1.512000e-06 2.829101e+03  27.00
  85.09 -1.511000e-06 2.829372e+03  27.00
  85.09 -1.511000e-06 2.829642e+03  27.00
  85.09 -1.512000e-06 2.829912e+03  27.00
  85.12 -1.512000e-06 2.830183e+03  27.00
  85.12 -1.512000e-06 2.830453e+03  27.00
  85.12 -1.511000e-06 2.830724e+03  27.00
  85.12 -1.511000e-06 2.830994e+03  27.00
  85.14 -1.511000e-06 2.831264e+03  27.00
  85.14 -1.511000e-06 2.831535e+03  27.00
  85.14 -1.511000e-06 2.831806e+03  27.00
  85.14 -1.507000e-06 2.832076e+03  27.00
  85.16 -1.511000e-06 2.832358e+03  27.00
  85.16 -1.512000e-06 2.832629e+03  27.00
  85.16 -1.512000e-06 2.832900e+03  27.00
  85.16 -1.511000e-06 2.833170e+03  27.00
  85.16 -1.511000e-06 2.833440e+03  27.00
  85.16 -1.510000e-06 2.833711e+03  27.00
  85.19 -1.510000e-06 2.833981e+03  27.00
  85.19 -1.507000e-06 2.834251e+03  27.00
  85.19 -1.511000e-06 2.834522e+03  27.00
  85.21 -1.513000e-06 2.834794e+03  27.00
  85.21 -1.516000e-06 2.835063e+03  27.00
  85.21 -1.516000e-06 2.835333e+03  27.00
  85.21 -1.516000e-06 2.835604e+03  27.00
  85.21 -1.513000e-06 2.835874e+03  27.00
  85.21 -1.512000e-06 2.836145e+03  27.00
  85.23 -1.511000e-06 2.836415e+03  27.00
  85.23 -1.507000e-06 2.836685e+03  27.00
  85.23 -1.506000e-06 2.836955e+03  27.00
  85.23 -1.507000e-06 2.837226e+03  27.00
  85.23 -1.506000e-06 2.837496e+03  27.00
  85.23 -1.506000e-06 2.837767e+03  27.00
  85.26 -1.506000e-06 2.838038e+03  27.00
